"is_top","label","n_cells","frac"
NA,"EVT2",2183,0.241455591195664
NA,"EVT3",452,0.0499944696383143
NA,"Endothelial_cells",185,0.0204623382369207
NA,"Fibroblast1",626,0.0692401283043911
NA,"Fibroblast2",1609,0.177967039044354
NA,"Hofbauer cells",471,0.052096007078863
NA,"STB",853,0.0943479703572614
NA,"maternal macrophages",57,0.00630461232164584
NA,"unknown2",27,0.00298639531025329
NA,"unknown3",288,0.0318548833093684
NA,"vCTB2",2248,0.248645061387015
NA,"vCTBp",42,0.00464550381594956
