"niche_cluster","celltype","n_cells","frac"
"N1","STB",58,0.816901408450704
"N1","FIB2",5,0.0704225352112676
"N1","vCTB",3,0.0422535211267606
"N1","Hofbauer cells",2,0.028169014084507
"N1","Erythroblasts",1,0.0140845070422535
"N2","FIB1",45,0.803571428571429
"N2","Hofbauer cells",3,0.0535714285714286
"N2","FIB2",2,0.0357142857142857
"N2","STB",2,0.0357142857142857
"N2","vCTB",2,0.0357142857142857
"N3","vCTB",114,0.306451612903226
"N3","STB",87,0.233870967741935
"N3","FIB2",63,0.169354838709677
"N3","Hofbauer cells",35,0.0940860215053763
"N3","FIB1",24,0.0645161290322581
"N4","FIB2",112,0.344615384615385
"N4","Hofbauer cells",83,0.255384615384615
"N4","vCTB",43,0.132307692307692
"N4","STB",29,0.0892307692307692
"N4","EVT-progenitor",18,0.0553846153846154
"N5","vCTB",146,0.267399267399267
"N5","FIB2",131,0.23992673992674
"N5","Hofbauer cells",99,0.181318681318681
"N5","STB",82,0.15018315018315
"N5","Endothelial",23,0.0421245421245421
"N6","vCTB",53,0.854838709677419
"N6","FIB2",6,0.0967741935483871
"N6","Hofbauer cells",2,0.032258064516129
"N6","Endothelial",1,0.0161290322580645
"N7","EVT",31,0.284403669724771
"N7","FIB2",22,0.201834862385321
"N7","vCTB",17,0.155963302752294
"N7","EVT-progenitor",15,0.137614678899083
"N7","Hofbauer cells",10,0.0917431192660551
"N8","STB",130,0.340314136125654
"N8","vCTB",86,0.225130890052356
"N8","FIB2",74,0.193717277486911
"N8","Hofbauer cells",36,0.0942408376963351
"N8","STB-progenitor",14,0.0366492146596859
