"","Endothelial","Erythroblasts","EVT","EVT-progenitor","EVT3","FIB1","FIB2","Hofbauer cells","STB","STB-progenitor","vCTB","vCTBp"
"Endothelial",1.51050277032141,1.06051040333239,-1.32999582214696,-1.47137810300261,-0.511635217585462,0.119260149685978,1.26079381062051,0.553064743182708,-0.233589678039369,1.14732995592138,-2.2509657163065,0.0875319939841233
"Erythroblasts",0.867124455259903,0.906536746658879,1.59921885490038,1.28983126409022,0.169959779412656,0.0806442940730842,-0.593392207111728,-1.59392140848341,-1.84754773580269,-0.834878893309309,1.3664432353107,-0.688799618713832
"EVT",0.880746667072695,2.32784424042864,0.502691169669079,-0.708353044430298,-0.516226401719659,-1.17640660047366,0.560547677354631,0.0541253083710794,-1.35795278712844,1.81730947302087,-1.11565994444983,1.52685744422714
"EVT-progenitor",0.230928536441042,-0.419474643921737,0.946533740166076,-0.44535863713112,-0.462370577306793,1.03419977711444,0.0146889392172781,-0.452383345024495,-0.560196630360098,-0.547808437742251,0.218392964868142,-0.304025810298824
"EVT3",-1.32242778604396,-0.892967164676956,1.34437071029097,-0.450821389265193,-0.350681518340758,1.14077454236803,0.0548313072790322,0.935210197198853,0.200388883082893,-1.01005069499949,-0.0418262772104197,-0.252013169823236
"FIB1",2.13712371975158,-0.136544349772991,0.682889507301447,-0.199738029189014,-0.0809668875973405,-0.835616442856484,0.0201708586584383,0.805171977044645,-0.0457201939389654,0.0784167740744475,-0.833888254278389,-0.154300484850181
"FIB2",0.00756177807573392,0.731633286342925,0.454195278933628,-1.13045307680302,0.218312015575468,0.0866277394935431,0.278611710937761,-0.644760626547167,-0.104654816490051,-0.284189931880183,-0.163907989276048,1.83916295267697
"Hofbauer cells",0.47626949541906,1.8679367690874,-0.387408999524282,-0.386347740304765,-1.33020054693244,2.08596893370365,-0.705838665566296,-0.487526489487009,-0.386030481798552,-1.27847254994394,0.0455544686061842,-0.891658631565672
"STB",0.415217810635061,-1.67970015657304,1.05067454699377,-1.40251330387197,-0.945198872555562,-0.312289516079025,-0.49842012214642,0.83364275320945,-0.235950989639291,-2.05265823483408,1.53172808945946,-1.24272563356995
"STB-progenitor",-0.317480079778089,-0.480619169976574,-0.172519674237393,-1.23937555287778,-1.08996162061374,0.399558076839459,0.143402387089339,-0.407685327832528,1.54964805828404,-0.299547227364257,-0.238191534560762,0.649587060806409
"vCTB",0.0414684837121509,-1.58964437857842,-1.17514344115128,-1.89700780464069,-1.09203796540389,0.0884938390965236,1.70487496232727,-0.134592695271164,0.632689527442994,-0.110305401399573,-0.492206227504448,-0.422897608841319
"vCTBp",1.26215278094417,-0.635953937707182,3.17183787186904,-0.313698251063971,-0.273664890939075,-1.03962064539982,-0.833463406589749,-1.07469989569398,1.49858784822968,-0.763790625900709,0.445772706249606,-0.203613194344719
